가게,주소,도로명주소,경도,위도
스타벅스 사당로데오점,방배동 444-7,서울 서초구 방배천로 5-4,126.9821828,37.47728505
스타벅스 경복궁역점,통의동 35-41,서울 종로구 자하문로4길 6 1층,126.9726397,37.57718068
스타벅스 문정법원로R,문정동 202-1,서울 송파구 송파대로 201,127.1194712,37.48732609
스타벅스 마곡GMG점,마곡동 773-2,서울 강서구 마곡중앙6로 16 117~120호,126.8290884,37.56038933
스타벅스 강북구청사거리점,수유동 174-13,서울 강북구 도봉로 365,127.0273851,37.64001422
스타벅스 마곡역점,마곡동 728-234,서울 강서구 공항대로 168 101~105호,126.8261429,37.55927641
스타벅스 강남삼성타운점,서초동 1327-5,서울 서초구 서초대로78길 24,127.0277478,37.49554972
스타벅스 방배역점,방배동 908-10,서울 서초구 방배로 84,126.997611,37.48200233
스타벅스 송파위례점,장지동 884,서울 송파구 위례광장로 230,127.1435336,37.4786214
스타벅스 신림사거리점,신림동 1422-36,"서울 관악구 남부순환로 1619 영일빌딩 1, 2층",126.9304966,37.4846529
스타벅스 문래동점,문래동3가 77-1,서울 영등포구 선유로 64 대창타운빌 1층,126.8896457,37.51962594
스타벅스 아차산역,구의동 75-19,서울 광진구 천호대로 676,127.0899289,37.55059435
스타벅스 노원KT점,상계동 723,서울 노원구 노해로 502 KT 노원사옥,127.0637541,37.65445554
스타벅스 선릉동신빌딩R점,삼성동 141-28,서울 강남구 테헤란로 409,127.0503884,37.50535848
스타벅스 사가정역점,면목동 617-2,서울 중랑구 면목로 310,127.0879586,37.57963389
스타벅스 동부이촌동점,이촌동 302-60,서울 용산구 이촌로 198,126.9690603,37.52107112
스타벅스 홍대갤러리점,서교동 343-10,서울 마포구 와우산로 101 정명빌딩,126.9248826,37.55333506
스타벅스 한양대점,행당동 31-4,"서울 성동구 왕십리로 225 경희빌딩 1,2층",127.04212,37.55716855
스타벅스 상봉점,상봉동 501,서울 중랑구 상봉로 131 상봉듀오트리스주상복합,127.0922043,37.59736204
스타벅스 종로평창점,평창동 220,서울 종로구 평창12길 3,126.9672312,37.60617313
스타벅스 중계역점,상계동 763-3,서울 노원구 동일로 1339 대한빌딩,127.0621827,37.64816323
스타벅스 안암역점,안암동5가 92,서울 성북구 고려대로 102-2,127.0307738,37.58611453
스타벅스 뚝섬역,성수동1가 14-33,서울 성동구 아차산로 42,127.0490945,37.54643584
스타벅스 합정메세나몰점,서교동 490,서울 마포구 양화로 45 메세나폴리스 지하 1층 161~164호,126.9142006,37.55076126
스타벅스 올림픽공원남문점,방이동 181-2,서울 송파구 위례성대로 102 태평양파크빌라트 상가 1층,127.1231461,37.51330947
스타벅스 금천독산점,독산동 291-1,서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호,126.8956907,37.46894578
스타벅스 이태원역점,이태원동 127-6,서울 용산구 이태원로 188,126.9948034,37.53431195
스타벅스 선릉역점,역삼동 708-6,서울 강남구 테헤란로 334 LG화재빌딩 1층,127.0485291,37.50394472
스타벅스 미아뉴타운점,미아동 812-2,서울 강북구 삼양로 161 행전빌딩,127.0211457,37.618358
스타벅스 센트럴시티점,반포동 19-3,서울 서초구 신반포로 176 센트럴시티 1층,127.004385,37.50465963
스타벅스 용산아이파크몰점,한강로3가 40-999,서울 용산구 한강대로23길 55 아이파크몰 서관 6층,126.964861,37.52982602
스타벅스 연신내역사거리점,불광동 308-1,서울 은평구 통일로 842,126.9220778,37.61867397
스타벅스 서래마을입구점,반포동 92-1,서울 서초구 서래로 48,126.9985577,37.49926642
스타벅스 미아사거리역점,미아동 35-30,서울 강북구 도봉로 32,127.0307111,37.6118445
스타벅스 송파구청,방이동 22-5,서울 송파구 오금로 87,127.1074231,37.51461244
스타벅스 뱅뱅사거리점,도곡동 946-14,서울 강남구 강남대로 282,127.0324836,37.48856668
스타벅스 강남오거리점,역삼동 813-17,서울 강남구 봉은사로2길 39,127.0266561,37.50210796
스타벅스 순천향입구점,한남동 657-104,서울 용산구 대사관로 67,127.0056401,37.53341963
스타벅스 목동8단지점,신정동 319-23,서울 양천구 목동서로 299,126.8688143,37.52056396
스타벅스 약수역점,신당동 374-27,서울 중구 다산로 129,127.0107286,37.55543451
스타벅스 노량진동점,노량진동 333,서울 동작구 노량진로 190 고려교육타워 어바니엘한강 101~105호,126.9468624,37.51295802
스타벅스 둔촌동점,성내동 441-2,서울 강동구 양재대로 1303 평원빌딩 1층,127.133964,37.52276746
스타벅스 종각점,종로2가 84-14,서울 종로구 종로 64,126.9560862,37.61417716
스타벅스 문정하비오점,문정동 618,서울 송파구 송파대로 111 204동 104~107호,127.1239925,37.47989732
스타벅스 중앙대점,흑석동 205-5,서울 동작구 흑석로 75-1,126.9581294,37.50697367
스타벅스 동묘앞역점,숭인동 312-2,"서울 종로구 종로 344 101,201호",127.0160825,37.57273789
스타벅스 강남2점,서초동 1307-28,"서울 서초구 서초대로77길 27 1, 2층",127.0255034,37.50012416
스타벅스 중랑구청점,신내동 563-3,서울 중랑구 신내로 72,127.095642,37.60539813
스타벅스 잠실시그마타워점,신천동 7-19,서울 송파구 올림픽로 289,127.1025032,37.51461572
스타벅스 상암사보이시티,상암동 1597,서울 마포구 월드컵북로54길 17,126.8885437,37.58132569
스타벅스 여의도점,여의도동 23-9,서울 영등포구 국제금융로2길 28,126.9244945,37.5240805
스타벅스 낙성대역점,봉천동 1660-1,서울 관악구 남부순환로 1908,126.9612063,37.47770319
스타벅스 상일동점,상일동 494,"서울 강동구 상일로10길 36 1, 2층",127.1741055,37.55081192
스타벅스 연희동점,연희동 188-2,서울 서대문구 연희로 97,126.9305159,37.56680355
스타벅스 서교점,서교동 395-166,서울 마포구 양화로 78,126.9169206,37.55138499
스타벅스 이수역사거리점,방배동 3001-2,서울 서초구 서초대로 3-4,126.9831229,37.48604648
스타벅스 수서점,수서동 713,서울 강남구 밤고개로1길 10 현대벤처빌딩 지하 2층,127.1018014,37.48802866
스타벅스 잠실대교남단R점,신천동 7-30,서울 송파구 송파대로 570 타워730 1층,127.0991192,37.51579048
스타벅스 신논현역점,반포동 748-1,서울 서초구 강남대로 483,127.0236374,37.50533518
스타벅스 문래역점,문래동3가 55-5,서울 영등포구 당산로 34,126.8964803,37.51746494
스타벅스 오류동역점,오류동 55-50,서울 구로구 경인로 216,126.8448499,37.49622022
스타벅스 등촌역점,목동 602-2,"서울 양천구 공항대로 566 1,2층",126.868047,37.54896594
스타벅스 경희대삼거리점,회기동 60-40,서울 동대문구 회기로 141,127.052032,37.59157068
스타벅스 서초역점,서초동 1542-14,서울 서초구 반포대로 118 1층,127.0086135,37.4906626
스타벅스 송파마천사거리DT점,마천동 43-1,서울 송파구 거마로 78,127.1476499,37.49975575
스타벅스 종로3가점,종로3가 9-3,서울 종로구 종로 113-1 1~4층,126.9817952,37.58553933
스타벅스 공덕점,공덕동 254-8,서울 마포구 마포대로 130,126.9529894,37.54597292
스타벅스 강남대로점,역삼동 809-10,서울 강남구 강남대로 456 1-2호 한석타워,127.0255754,37.5031347
스타벅스 목동역점,신정동 900-10,서울 양천구 목동로 203,126.863793,37.52670362
스타벅스 청담공원점,삼성동 53,서울 강남구 학동로 506 보라티알 빌딩 1층,127.051452,37.51869411
스타벅스 월계역점,월계동 635-6,서울 노원구 초안산로2라길 26 104~106호,127.0571779,37.63043784
스타벅스 영등포KT점,영등포동8가 35-1,서울 영등포구 영중로 119,126.9052403,37.52684379
스타벅스 구파발역점,진관동 90-1,서울 은평구 진관2로 12 메이플카운티 2차 113~116호,126.918543,37.63424076
스타벅스 고대점,안암동5가 104-30,서울 성북구 고려대로24길 51 1층 & 2층,127.0297063,37.58394598
스타벅스 숙대입구역점,갈월동 69-5,서울 용산구 한강대로 291 지하 1~3층,126.9719389,37.54421799
스타벅스 등촌점,등촌동 668-9,서울 강서구 공항대로 329 1층,126.8443184,37.55826866
스타벅스 합정폴리스R점,서교동 490,서울 마포구 양화로 45,126.9142006,37.55076126
스타벅스 학동사거리,논현동 93-2,서울 강남구 도산대로 328,127.0379667,37.52240252
스타벅스 건국대,화양동 5-45,"서울 광진구 능동로 117 1,2층",127.0711362,37.54159833
스타벅스 가락본동점,가락동 97-7,서울 송파구 송파대로30길 13,127.1187941,37.49487908
스타벅스 학동역점,논현동 87-1,서울 강남구 논현로 704,127.0307614,37.5146108
스타벅스 구로디지털타워점,구로동 222-7,서울 구로구 디지털로32길 30,126.8965254,37.483385
스타벅스 연신내점,갈현동 395-5,서울 은평구 통일로 869,126.9198125,37.62036643
스타벅스 숭실대입구역,상도동 475-5,서울 동작구 상도로 354,126.9527246,37.49687268
스타벅스 방이역점,오금동 17-8,"서울 송파구 마천로 53 1, 2층",127.126629,37.50855247
스타벅스 서강광흥창역점,창전동 130,서울 마포구 서강로 69,126.9316897,37.54943231
스타벅스 상암디지털큐브점,상암동 1647,서울 마포구 상암산로 34 1층,126.8893014,37.57622122
스타벅스 홍대삼거리점,상수동 86-22,서울 마포구 와우산로 64,126.9232777,37.55021496
스타벅스 압구정R점,신사동 621-1,서울 강남구 언주로 861,127.0331333,37.52740344
스타벅스 강남비젼타워점,역삼동 826-26,서울 강남구 테헤란로2길 27 비젼타워 1층,127.0296992,37.49649416
스타벅스 구의역,구의동 246-15,서울 광진구 아차산로 373,127.0840331,37.53701198
스타벅스 방배,방배동 812-2,서울 서초구 방배로 211,126.9906455,37.49199105
스타벅스 남가좌사거리점,남가좌동 352-15,서울 서대문구 거북골로 84 104동,126.9202473,37.57731754
스타벅스 엔터식스점,행당동 168-151,서울 성동구 왕십리광장로 17 왕십리역사 엔터식스몰 B1,127.0383836,37.56126547
스타벅스 독산사거리점,독산동 159-23,서울 금천구 시흥대로 426,126.8987774,37.47157417
스타벅스 송파헬리오시티점,가락동 479,서울 송파구 송파대로 345 103동,127.103075,37.49741667
스타벅스 금천시흥점,시흥동 904-22,서울 금천구 시흥대로 164,126.9032408,37.44888561
스타벅스 송파사거리점,송파동 96-7,서울 송파구 송파대로 386,127.1103373,37.50228158
스타벅스 마포염리점,염리동 168-9,서울 마포구 독막로 311,126.9479238,37.54383841
스타벅스 문정로데오점,가락동 125-6,서울 송파구 동남로 141,127.1262224,37.49191595
스타벅스 대우재단빌딩점,남대문로5가 526,서울 중구 퇴계로 18,126.9751589,37.55656063
스타벅스 가산디지털단지역점,가산동 50-3,서울 금천구 벚꽃로 298,126.8838628,37.48145519
스타벅스 정부서울청사R점,적선동 156,서울 종로구 새문안로5가길 28,126.9735873,37.57445322
스타벅스 길동역점,길동 378-3,서울 강동구 양재대로 1487,127.140063,37.53871236
스타벅스 상수역점,상수동 329-1,서울 마포구 독막로 88,126.9232007,37.54749947
스타벅스 효창공원앞역점,,서울 용산구 효창동 287,126.9633077,37.53961495
스타벅스 동여의도점,,서울 영등포구 여의도동 43-4 롯데캐슬 아이비 1층 122호,126.9317831,37.52017271
스타벅스 상도역점,상도1동 666-5,서울 동작구 상도로37길 1,126.9484469,37.50324336
스타벅스 인사점,인사동 39,서울 종로구 인사동길 14,126.986935,37.572182
스타벅스 명일역점,명일동 312-28,서울 강동구 양재대로 1647,127.1437827,37.55256043
스타벅스 염창역점,염창동 282-23,서울 강서구 공항대로 627 대신빌딩 1층,126.8745391,37.54728947
스타벅스 역삼역점,역삼동 646-15,서울 강남구 테헤란로 145 우신빌딩 1층,127.0351971,37.50071058
스타벅스 신촌오거리점,노고산동 54-1,서울 마포구 신촌로16길 10,126.9346769,37.55517749
스타벅스 혜화역점,동숭동 1-31,"서울 종로구 대학로12길 4 1,2층",127.0021992,37.58251657
스타벅스 한티역점,대치동 1024,서울 강남구 도곡로 408 디마크빌딩 101호,127.0552316,37.49660976
스타벅스 신림역포도몰점,신림동 1641-101,서울 관악구 신림로 330 포도몰 1층 101호,126.9302435,37.483853
스타벅스 황학사거리점,상왕십리동 54-35,서울 성동구 왕십리로 410 센트라스,127.0248747,37.5667278
스타벅스 마로니에공원점,동숭동 1-115,서울 종로구 대학로 116 1-2층,127.0023421,37.58153332
스타벅스 도곡공원점,역삼동 788-10,서울 강남구 도곡로 205,127.0413649,37.4929193
스타벅스 마포용강동점,용강동 112-2,서울 마포구 토정로 295,126.9421962,37.5412193
스타벅스 아시아선수촌점,잠실동 175,서울 송파구 백제고분로 69 애플타워 175,127.0790416,37.51053282
스타벅스 종암점,종암동 3-686,서울 성북구 종암로 122,127.0339366,37.60120195
스타벅스 당산점,당산동6가 338-11,서울 영등포구 양평로 64 1층,126.8999753,37.53514159
