건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
미주빌라(344-12),개봉동 344-12,4층,2020 7 8,"    17,400/         0",59.72,18.1,2002,7424.430881374563,0.0,연립/다세대,적정보증금,적정월세,126.85111100000002,37.536732
은빛빌라(334-13),개봉동 334-13,2층,2020 7 8,"    19,200/         0",71.58,21.7,1992,8847.926267281106,0.0,연립/다세대,적정보증금,적정월세,126.834879,37.488367
미진주택,개봉동 5-5,2층,2020 7 14,"    14,000/         0",54.18,16.4,2002,8536.58536585366,0.0,연립/다세대,적정보증금,적정월세,126.840119,37.498321
브라운빌,개봉동 338-13,3층,2020 7 15,"     3,978/        17",51.39,15.5,2013,2566.451612903225,10.967741935483868,연립/다세대,적정보증금,적정월세,126.837567,37.490079
아이빌3차,개봉동 61-3,2층,2020 7 15,       100/        33,50.21,15.2,2019,65.78947368421053,21.71052631578948,연립/다세대,적정보증금,적정월세,126.84103,37.490572
(319-22),개봉동 319-22,4층,2020 7 15,"     1,000/        33",55.82,16.9,2015,591.715976331361,19.526627218934923,연립/다세대,적정보증금,적정월세,126.832524,37.489335
드림캐슬(365-9),개봉동 365-9,2층,2020 7 16,"    15,000/         0",53.4,16.2,2012,5328.930328930329,17.48251748251748,연립/다세대,적정보증금,적정월세,126.969158,37.470216
리움하우스,개봉동 303-30,3층,2020 7 20,"     1,002/         6",15.77,4.8,2013,2035.416666666667,11.458333333333336,연립/다세대,적정보증금,적정월세,126.955649,37.476711
거성빌라 2동,개봉동 23-30,2층,2020 7 24,"     8,000/         0",36.72,11.1,1990,7207.207207207207,0.0,연립/다세대,적정보증금,적정월세,126.823055,37.493224
이다캐슬Ⅱ(322-10),개봉동 322-10,4층,2020 7 24,"    19,000/         0",73.55,22.2,2002,8558.55855855856,0.0,연립/다세대,적정보증금,적정월세,126.870052,37.553223
정헌비취빌(330-10),개봉동 330-10,4층,2020 7 28,"     3,000/        60",55.68,16.8,2001,1785.7142857142856,35.714285714285715,연립/다세대,적정보증금,적정월세,126.869423,37.55141500000001
동신연립(170-36),개봉동 170-36,2층,2020 7 30,"    12,000/         0",63.81,19.3,1977,6006.681955887766,1.381692573402418,연립/다세대,적정보증금,적정월세,126.829813,37.498526
"개봉파레스빌라 가,나동(170-1)",개봉동 170-1,3층,2020 7 30,"    14,000/         0",46.22,14.0,1993,8388.554602483677,0.0,연립/다세대,적정보증금,적정월세,126.849889,37.547794
거상빌라(다)(156-30),오류동 156-30,2층,2020 7 4,"     3,000/        30",43.74,13.2,1989,2272.727272727273,22.72727272727273,연립/다세대,적정보증금,적정월세,126.862323,37.536065
성화스위츠빌(C동),오류동 14-6,5층,2020 7 5,"    18,000/         0",70.1,21.2,2003,8490.566037735849,0.0,연립/다세대,적정보증금,적정월세,126.858058,37.546368
