가게,주소,도로명주소,경도,위도
작심스터디카페 서울교대점,서초동 1656-13,"서울 서초구 서초대로52길 38 2,3층",127.0145993,37.49212206
플라이스터디카페,도화동 1-12,서울 마포구 새창로 40 4층,126.9540399,37.54124389
코지모임공간 강남점1호점,역삼동 825-9,서울 강남구 강남대로 378 준빌딩 14층,127.0286317,37.49665371
열공다방스터디카페 신대방사거리점,신대방동 344-15,서울 동작구 보라매로 91 3층,126.9276567,37.49753332
열공다방스터디카페 서울시립대점,전농동 103-103,서울 동대문구 전농로 217-3 선일빌딩 3층,127.053065,37.58354692
어라운드스터디카페 돈암점,동소문동6가 26,서울 성북구 동소문로13길 12 3층,127.0128981,37.59240786
비에이블스터디카페 압구정시그니처센터,신사동 529,서울 강남구 압구정로 112 동광빌딩 지하1층,127.0211217,37.52323928
스터디카페 Nest24 강남역1호점,역삼동 827-24,서울 강남구 테헤란로6길 48,127.0316099,37.49553185
시작스터디카페 양재시민의숲역점,양재동 332-9,"서울 서초구 동산로2길 23 1층, 지하1층",127.0423977,37.46893437
비에이블스터디카페 마포센터,신수동 31-1,서울 마포구 백범로 71 숨도빌딩 6층,126.9396944,37.54911107
어라운드스터디카페 은평점,대조동 226-3,서울 은평구 서오릉로 134 메디칼 7층 701호,126.9181276,37.61101132
작심스터디카페 혜화점,명륜2가 8-67,서울 종로구 창경궁로 253-1 3층,126.9996615,37.58420567
그루스터디카페 강남대치사거리센터,대치동 905,서울 강남구 역삼로69길 10 예가빌딩 3층,127.0540276,37.50222205
곰달래스터디카페,화곡동 897-22,서울 강서구 곰달래로 144,126.8488722,37.53054576
랭스터디카페 고려대점,안암동5가 104-34,서울 성북구 고려대로24길 55 3층,127.0296023,37.58372212
시작스터디카페 문정점,문정동 70-14,서울 송파구 새말로 101 형수빌딩 2층,127.1254473,37.4828937
위넌스터디카페 교대점,서초동 1576-5,서울 서초구 서초중앙로 101 신아빌딩 지하 1층,127.0138993,37.49075271
루나스터디카페,성내동 107-6,서울 강동구 올림픽로 580 3층,127.1219083,37.53339062
르하임스터디카페 신림대학동점,신림동 241-111,서울 관악구 대학5길 13 2층,126.9385025,37.46935065
공간더하기,역삼동 819-10,서울 강남구 테헤란로1길 10 세경빌딩 6층,127.0282229,37.49896497
스터디카페백련,응암동 578-16,서울 은평구 응암로 235 대성빌딩 5층,126.9176001,37.59301667
스플스터디카페 도곡센터,도곡동 420-16,"서울 강남구 논현로28길 43 2,3층",127.045192,37.48447919
두드림스터디카페,신길동 362-22,서울 영등포구 도신로 86 3층,126.9019231,37.50670974
더스터디카페 회기점,휘경동 281-6,서울 동대문구 망우로14길 6 2층,127.0595931,37.58886834
어라운드스터디카페 중곡1호점,중곡동 24-2,서울 광진구 용마산로 109 궁전빌딩3층,127.0866746,37.56335601
열정공장,명륜4가 72-4,서울 종로구 대학로11길 20 5층,127.0005248,37.5824043
모임 스터디룸 사당1호점,남현동 1061-23,서울 관악구 과천대로 947 에스디타워 5층,126.9813447,37.47519174
더포도모임공간,남현동 1062-10,서울 관악구 남현3길 71 3층,126.9803626,37.47548003
스터디카페 포레 대치본점,대치동 959-6,서울 강남구 삼성로 412 포우빌딩 2층,127.0585098,37.50398047
워라밸스터디카페,잠원동 28-4,서울 서초구 강남대로93길 14,127.0197381,37.51278299
작심스터디카페 노량진2호점,노량진동 134,"서울 동작구 만양로14길 55-1 지하1층, 1층",126.9471584,37.51263559
랭스터디카페 이대점,대현동 60-9,"서울 서대문구 이화여대길 42 1, 2층",126.9458565,37.5588777
티구시포,서교동 394-69,"서울 마포구 양화로8길 16-4 2, 3층",126.9159789,37.54995649
스터디룸위드 당산점,당산동5가 33-8,서울 영등포구 양평로 59 대영빌딩 5층 502호,126.8999218,37.53463078
위넌스터디카페 노량진점,노량진동 148-88,서울 동작구 노량진로 178 지하1층,126.9456949,37.51340749
시작스터디카페 자양점,자양동 601-9,서울 광진구 자양번영로 26 2층,127.0755107,37.53195276
더공간스터디카페 신촌점,창천동 62-22,서울 서대문구 연세로5다길 22-3 3층,126.9343074,37.55677293
모임 사당2호점,남현동 602-1,서울 관악구 남현3길 78 덕원빌딩 6층,126.9808622,37.47537858
이제마스터디카페 망원점,망원동 517,서울 마포구 월드컵로25길 26 마포영화블렌하임 상가동 2층 201호,126.906357,37.55854818
굿브라더스페이스 강남센터,역삼동 635-5,서울 강남구 테헤란로5길 36,127.0290759,37.50086124
엘더스터디카페 영등포점,영등포동 618-271,서울 영등포구 영신로19길 28 4층,126.9050045,37.51364832
지니24스터디카페 당산점,당산동4가 32-49,서울 영등포구 당산로 174 2층,126.8989789,37.52974607
리더스스터디카페 잠실점,잠실동 209-10,서울 송파구 석촌호수로 98,127.0877167,37.50807001
모어스터디,자양동 7-13,서울 광진구 동일로20길 89 지하 1층,127.0684287,37.54007661
스터디카페 위드,성수동1가 656-564,서울 성동구 왕십리로8길 4 2층,127.0450521,37.5464374
지니24스터디카페 가재울DMC점,남가좌동 379-2,서울 서대문구 수색로6길 45 상가동 3층,126.9134276,37.57232532
타임스터디카페 영등포점,도림동 114-6,서울 영등포구 도신로29길 12,126.9050089,37.50962626
베이스캠프 스터디카페,동선동1가 48,서울 성북구 보문로34길 39,127.017453,37.59076795
모임스터디룸 성신여대점,동선동1가 4-10,서울 성북구 동소문로20길 29-7 4층 401호,127.0172047,37.59147855
플랜에이스터디카페 노량진제1센터,노량진동 72-30,서울 동작구 노량진로14길 15 2층,126.942313,37.51285691
위넌스터디카페 중화역점,중화동 122-11,서울 중랑구 봉화산로 99 모두스타빌 3층,127.0852888,37.6025267
르하임스터디카페 응암점,응암동 91-5,서울 은평구 은평로 93 5층,126.9181274,37.59978472
이지스스터디카페 창동쌍문점,창동 700-36,서울 도봉구 도봉로 524 하버드빌딩 3층,127.0370579,37.65178193
어라운드스터디카페 자양점,자양동 512-2,서울 광진구 뚝섬로33길 34 지하,127.0701197,37.53655577
위넌스터디카페 본사,서교동 326-23,서울 마포구 와우산로35길 9-7,126.9296182,37.5555363
초심스터디카페 본사,구로동 191-7,서울 구로구 디지털로33길 11 에이스테크노타워 8차,126.8955116,37.48570493
숨스터디카페,화양동 498-1,서울 광진구 광나루로 418 2층,127.0757129,37.54636698
숲24시스터디카페,불광동 423,서울 은평구 연서로 292 2층,126.9267244,37.62161676
위넌스터디카페 보라매점,대방동 402-12,서울 동작구 상도로 30 수석빌딩 3층,126.9239014,37.49964573
피치스터디카페,목동 408-40,서울 양천구 목동서로 250 3층,126.8693389,37.52495858
초심스터디카페 신림점,신림동 1522-4,서울 관악구 신림로23길 25 지하1층,126.9350224,37.4698326
비에이블스터디카페 상도센터,상도동 346-11,서울 동작구 성대로1길 3 2층,126.9325874,37.50046598
르하임스터디카페 서울대점,봉천동 1666-47,서울 관악구 남부순환로 1843 2층,126.9550057,37.48067235
위캔스터디카페 대치본점,대치동 1022-1,서울 강남구 도곡로 440 지하1층,127.0586348,37.49788918
더공간스터디카페 노량진1호점,노량진동 119-143,서울 동작구 만양로 98 3층,126.9444465,37.5120718
이제마스터디카페 응암점,응암동 87-10,서울 은평구 은평로 137 2층,126.9229218,37.60080914
위넌스터디카페 사가정역점,면목동 605-32,서울 중랑구 사가정로 371-1 송학드림타워 7층,127.0859851,37.58114534
작심스터디카페 서울반포점,반포동 52-6,서울 서초구 서초중앙로 225 남도빌딩 3층,127.0115459,37.50167318
스터디벙커,합정동 393-18,서울 마포구 포은로 14,126.9093557,37.54942839
슈퍼스타트 강남점,역삼동 821-1,서울 강남구 테헤란로 101 이즈타워 지하 301호,127.0280947,37.49861158
24시스터디카페 스터디고 가양역점,가양동 1480,서울 강서구 양천로57길 16 영보빌딩 7층,126.8524965,37.56337161
비에이블스터디카페 대치센터,대치동 989-1,서울 강남구 도곡로 504 지하1층,127.0616134,37.49880898
플렉스24,노량진동 84-101,서울 동작구 장승배기로28길 26 지하1층,126.9417734,37.51230302
공간샘스터디카페 봉천점,봉천동 495-1,서울 관악구 은천로 109 6층,126.9474716,37.48699911
포텐스터디카페 금천롯데캐슬점,독산동 1155,서울 금천구 시흥대로 291 롯데3차상가 2층,126.8965322,37.45997216
비에이블스터디카페 청담센터,청담동 46-19,서울 강남구 학동로 433,127.0483151,37.51876221
브리즈스터디카페 장안점,장안동 361-1,서울 동대문구 장한로 60 3층,127.0682705,37.56633589
스터디룸위드 사당점,남현동 1061-17,서울 관악구 과천대로 941 지산빌딩 5층 502호,126.9811707,37.47465634
시작스터디카페 신촌명물거리점,창천동 31-82,서울 서대문구 명물길 27 5층,126.9380704,37.55829671
경기버스라운지,남현동 1061-21,서울 관악구 과천대로 943,126.9814185,37.47482536
베스트프렌드 스터디룸,창천동 31-39,"서울 서대문구 연세로 21 5,6층",126.9366816,37.55756209
시작스터디카페 대치점,대치동 940-6,서울 강남구 도곡로77길 7,127.0583638,37.49880462
꿈틀 신촌점,창천동 33-25,서울 서대문구 연세로7안길 10 4층,126.9364399,37.5581449
효카페스터디룸,노량진동 126-14,서울 동작구 만양로18길 14,126.945003,37.51302823
서다스터디카페,자양동 679-1,서울 광진구 뚝섬로 672 2층,127.0841599,37.53175464
스터디고 개봉점,개봉동 403-222,서울 구로구 개봉로20길 14 6층,126.85633,37.49266232
그루스터디카페 신금호센터,금호동1가 172,서울 성동구 난계로 35 남광빌딩 지하1층,127.0244774,37.5555231
그린스터디플레이스 가재울점,남가좌동 206-11,서울 서대문구 가재울로 52 2층,126.9215514,37.57554815
위넌스터디카페 대학동1호점,신림동 241-67,서울 관악구 신림로11길 17 2층,126.9389951,37.46966295
원스스터디카페,구로동 313-119,서울 구로구 도림로 69,126.8910339,37.48963758
비에이블스터디카페 시흥센터,시흥동 890-13,서울 금천구 시흥대로 196 세진빌딩 6층,126.9022392,37.45140378
메이드스터디카페 역촌센터,역촌동 40-7,서울 은평구 진흥로5길 15 대진빌딩 4층,126.9193636,37.60259551
비에이블스터디카페 대치2센터,대치동 935-26,서울 강남구 선릉로62길 33 장성빌딩 지하1층,127.0550695,37.49800269
시작스터디카페 한티점,대치동 922-24,서울 강남구 선릉로 314 3층 301호,127.0523816,37.49782008
모임전문공간 다옴,화양동 48-3,서울 광진구 아차산로 213 웅진빌딩 지하 1층,127.0672007,37.54137942
스터디카페 루,답십리동 99-22,서울 동대문구 전농로 105-1 3층,127.0573567,37.57444392
더공간스터디카페 노량진2호점,노량진동 59-29,서울 동작구 노량진로 144 3층,126.9418643,37.5134241
하우스터디 세종스터디카페,화양동 116-2,서울 광진구 광나루로 370 동도센트리움 4층,127.0708965,37.5476278
골든스터디카페 신도림점,신도림동 375-1,서울 구로구 경인로65길 44 보미플라자 5층,126.8852221,37.50958368
얼라이브 스터디센터 마포점,염리동 155-2,서울 마포구 백범로 119 원빌딩 4층,126.9446291,37.54693575
스토피아스터디카페 노원센터,상계동 603-8,서울 노원구 상계로 63-7 청우빌딩 6층,127.0618913,37.65650339
비에이블스터디카페 행당센터,행당동 319-9,서울 성동구 고산자로 203 지하1층,127.0337297,37.5581751
스터디카페청춘,불광동 276-27,서울 은평구 불광로 55,126.9315866,37.61223712
이음스터디카페,갈현동 454-11,"서울 은평구 연서로29길 11-8 2,3층",126.9186846,37.6187329
마루스터디카페,신길동 355-497,서울 영등포구 도림로 289 2층,126.9031748,37.50356063
더공간스터디카페 고대점,안암동5가 134-35,서울 성북구 안암로 69-1 3층,127.0288648,37.58266
작심스터디카페 서울발산점,내발산동 669,서울 강서구 강서로 324 2층,126.8372929,37.55458624
더골스터디,상계동 353-1,서울 노원구 상계로5길 3 4층,127.0638636,37.65677273
하우스터디 양재스터디카페,양재동 391-18,서울 서초구 동산로 68 2층,127.0464152,37.4720768
토즈스터디카페 공덕센터,염리동 159-10,서울 마포구 백범로 134-1 5층,126.9458417,37.54588792
잇올스파르타스터디카페 청담점,청담동 1-10,서울 강남구 도산대로56길 10,127.0400592,37.52244388
시작스터디카페 옥수점,옥수동 285-73,서울 성동구 독서당로 216 2층,127.0147406,37.54355473
포텐스터디카페 신촌점,창천동 13-2,서울 서대문구 명물길 32 준성빌딩 6층,126.9384303,37.55802762
나의봄날,동교동 200-24,서울 마포구 동교로 201 5층,126.9229607,37.55821634
위넌스터디카페 고척점,고척동 72-7,서울 구로구 경인로 373 문화골든타워 6층 603호,126.8619149,37.49692084
그로잉 스터디카페 암사점,암사동 512-23,서울 강동구 올림픽로 765 3층,127.1270071,37.54948926
리브유어라이프 스터디카페,상암동 1590,서울 마포구 월드컵북로 434 2층 209호,126.886067,37.58162808
시작스터디카페 상계점,상계동 1040-18,서울 노원구 수락산로 222 3층,127.0542359,37.67091788
드림스터디카페 성신여대,동선동1가 121-6,서울 성북구 동소문로20나길 47 2층,127.0191115,37.59305427
지니24스터디카페 상암DMC점,상암동 34-46,서울 마포구 월드컵북로 336 3층,126.8946752,37.57605731
이제마스터디카페연희점,연희동 78-1,서울 서대문구 연희로 185,126.9352944,37.57361271
랭스터디카페 오목교점,신정동 86-7,서울 양천구 신목로 85 지하1층,126.8742579,37.52246666
위넌스터디카페 장안점,장안동 335-5,서울 동대문구 답십리로 302 3층,127.0739176,37.57190873
하베르스터디카페 창동점,창동 181-3,서울 도봉구 마들로13길 165 세영빌딩 7층,127.0459732,37.6576133
지니24스터디카페 난곡점,신림동 706-48,서울 관악구 난곡로 193 5층,126.9191359,37.47224869
모임 왕십리점,행당동 4-31,서울 성동구 마조로5길 6 2층,127.0404204,37.56015414
위넌스터디카페 구로수궁점,궁동 279,서울 구로구 오리로 1316 2층,126.8293537,37.49881417
시작스터디카페 서울대입구역직영점,봉천동 1673-21,서울 관악구 남부순환로 1861 덕수빌딩 2층,126.9568608,37.48000256
인토스터디카페 까치산역점,화곡동 896-13,서울 강서구 곰달래로 146 4층,126.8492539,37.53056291
어라운드스터디카페 송파개롱역점,가락동 175-12,서울 송파구 오금로46길 5 지하1층,127.1364621,37.49655103
홈워크,화양동 33-34,서울 광진구 능동로13길 75 2층,127.0688918,37.54488846
프라임스터디카페,봉천동 1527-36,서울 관악구 청룡8길 66 2층,126.9423162,37.48036173
타임유스터디카페 상도점,상도동 20-14,서울 동작구 만양로 16 2층,126.947458,37.50606951
타임스터디카페 보라매점,신길동 4507,서울 영등포구 여의대방로7길 9 3층,126.912744,37.49732169
플랜에이스터디카페 서초케이프센터,서초동 1481-3,서울 서초구 효령로46길 22 2층,127.0087096,37.48256988
모멘텀,역삼동 812-7,서울 강남구 봉은사로4길 31-3 1층,127.0270424,37.50289646
미플,창천동 29-81,서울 서대문구 신촌로 109 르메이에르5차빌딩 지하2층,126.9381472,37.5558966
시작스터디카페 공릉점,공릉동 392-2,서울 노원구 동일로192길 46 송암빌딩 4층,127.0755902,37.62652031
GSM테라스,논현동 164-14,서울 강남구 학동로2길 56 3층,127.0235936,37.50793672
포텐스터디카페 금천시흥점,시흥동 492-49,서울 금천구 시흥대로39길 45 4층,126.900653,37.44653412
더공간스터디카페 교대역점,서초동 1658-6,서울 서초구 서초중앙로20길 15 서원빌딩 2층,127.0148683,37.49234868
작심스터디카페 서울신방화역점,방화동 245-31,서울 강서구 방화대로33길 3 성은빌딩 5층,126.8162827,37.56858299
르하임스터디카페 노원점,상계동 749-9,서울 노원구 동일로 1372 6층,127.061797,37.65108961
이제마스터디카페 성산점,성산동 208-9,서울 마포구 월드컵북로 82 대정빌딩 4층,126.9160679,37.56114442
공간샘스터디카페 명일역점,명일동 327-1,서울 강동구 구천면로 428 2층,127.1461769,37.55016109
작심스터디카페 대치세정본점,대치동 940-13,서울 강남구 도곡로 435 1층,127.0579003,37.4982755
몽땅연필스터디카페 낙성대점,봉천동 1685-15,서울 관악구 남부순환로 1909 아이스타빌딩 3층,126.9616077,37.47811296
타임유스터디카페 방학점,방학동 718-6,서울 도봉구 마들로 649-20 메인프라자 3층 302호,127.0448658,37.66835898
블랙라벨스터디카페 북가좌점,북가좌동 306-17,서울 서대문구 응암로 54 서부프라자빌딩 2층,126.9101117,37.57788652
코지모임공간 5호점,서초동 1327-35,서울 서초구 서초대로78길 38 7층,127.0282347,37.49452432
위넌스터디카페 성균관대점,명륜2가 211,서울 종로구 성균관로 12 3층,126.9981288,37.58396925
모임플러스,서초동 1330-9,"서울 서초구 사임당로 173 서전빌딩 4층, 9층",127.0285437,37.49281176
24시스터디카페 태릉입구역점,공릉동 661-20,서울 노원구 동일로174길 38 플라체76빌딩 지하1층,127.0775885,37.61891117
초심스터디카페 숭실대점,상도동 506-3,"서울 동작구 사당로 32-1 2,3층",126.958001,37.49494929
다운스테어파티룸,수유동 194-29,서울 강북구 한천로143길 24 지하1층,127.0239133,37.64071868
스터디카페 위드유 오륜,성내동 441-1,서울 강동구 양재대로81길 8,127.1336581,37.52287565
