건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
서울숲 다세대 오피스텔, 성수동1가 656-28,6층,2020 6 24,"22,000/0",40.7,12.3,2013,16250.125464217606,0.0
아트빌딩, 성수동1가 685-308,6층,2020 6 27,"2,000/60",26.78,8.1,2003,2469.135802469136,74.07407407407408
성수아카데미타워, 성수동2가 277-17,12층,2020 6 22,"3,000/55",33.45,10.1,1998,1663.4996833016635,58.55585558555856
(233-8), 용답동 233-8,9층,2020 6 15,"1,000/60",21.9,6.6,1985,1515.1515151515152,90.90909090909092
라움하우스, 종암동 3-1123,4층,2020 6 30,"30,000/0",67.47,20.4,2017,14705.882352941178,0.0
신현빌A동, 가산동 235-84,7층,2020 6 4,"24,500/0",33.41,10.1,2019,23817.381738173826,0.0
미라벨, 가산동 142-6,2층,2020 6 20,"23,000/0",36.65,11.1,2019,20513.557035296162,0.0
한국후지필름 복합주거시설, 가산동 775,6층,2020 6 29,"1,000/58",22.05,6.7,2017,1492.5373134328358,86.56716417910447
신현빌B동, 가산동 235-12,3층,2020 6 30,"25,000/0",35.56,10.8,2019,22513.227513227506,0.0
아우르 하우스, 독산동 961-14,5층,2020 6 2,"28,700/0",48.87,14.8,2019,19391.891891891893,0.0
가산글로벌퍼스트, 독산동 1005-4,7층,2020 6 3,"22,000/0",28.5,8.6,2018,8139.534883720929,56.74418604651163
(331-40), 독산동 331-40,10층,2020 6 4,"19,000/0",33.66,10.2,2018,23109.243697478993,0.0
SM 벨리체, 독산동 151-3,7층,2020 6 6,"16,900/0",17.66,5.3,2019,30628.93081761006,0.0
씨티오피스텔, 독산동 332-24,3층,2020 6 6,"1,000/42",23.37,7.1,2003,9154.929577464789,30.281690140845072
THE VIEW, 독산동 962-42,8층,2020 6 11,"25,800/0",37.42,11.3,2020,22831.858407079642,0.0
메종에떼르넬, 독산동 336-29,12층,2020 6 13,"2,000/80",28.98,8.8,2020,3800.940438871473,79.85022640195055
우리家, 아현동 353-4,6층,2020 6 29,"31,000/0",33.59,10.2,2020,30392.1568627451,0.0
지엘 리베라움, 영등포동1가 28,7층,2020 6 6,"15,000/0",18.06,5.5,2014,26000.0,0.0
강남아르젠, 서초동 1327-23,5층,2020 6 2,"1,000/67",15.52,4.7,2014,2127.659574468085,142.5531914893617
