건물명,주소,위도,경도
에스엠벨리체, 녹번동 80-8,37.60588771,126.9237564
펠리체, 녹번동 83-11,37.60280858,126.9279277
샹그리라, 녹번동 83-58,37.60266044,126.9284733
다베로, 녹번동 83-62,37.60249461,126.9275977
군자 아델리제, 능동 222-2,37.55614687,127.0810732
(222-7), 능동 222-7,37.55599641,127.0807958
노블레스 빌, 능동 255-18,37.55370483,127.0873631
"	(283-15)	", 능동 283-15,37.55384445,127.0780334
대방오피스텔, 대방동 337-1,34.93058588,128.0557774
대방동 오피스텔, 대방동 385-22,37.50490448,126.9225827
대방주상복합빌딩, 대방동 394-11,37.49996973,126.9274165
원노블레스, 대방동 394-25,37.50014929,126.9274
"	(394-5)	", 대방동 394-5,37.50014453,126.9276226
올리브 빌딩, 대방동 405-8,37.49956417,126.926854
"	(90-1)	", 대신동 90-1,35.87165428,128.5812926
엠케이뷰오피스텔, 대조동 15-127,37.60863426,126.9302333
미래하임, 대조동 172-132,37.6096174,126.9202829
위산 엘리시움, 대조동 179-30,37.60732014,126.922333
스타타운, 대조동 186-10,37.61746327,126.9220023
연신내역마에스트로, 대조동 186-25,37.61712098,126.9224314
연신엘피스, 대조동 186-3,37.61747078,126.922208
오피스텔 원, 대조동 186-43,37.61687367,126.9223631
유진 아이디움, 대조동 197-1,37.61786806,126.9207723
경인에버빌, 대조동 197-16,37.61747502,126.9204169
도원빌딩, 대조동 197-20,37.61726341,126.9208117
(197-3), 대조동 197-3,37.6176376,126.9210156
상지하우스, 대조동 197-8,37.61750912,126.9206135
한리옥, 대조동 223-10,37.61307767,126.9180037
보성리엔빌, 대조동 223-3,37.61270758,126.9179897
"	(224-11)	", 대조동 224-11,37.61151877,126.9178969
태경쉐르빌, 대조동 224-7,37.61207724,126.9178929
스타타운 3차, 대조동 26-10,37.60935091,126.9264605
동양빌, 대조동 29-15,37.60940936,126.9257889
유림하이빌, 대조동 31-16,37.6100753,126.9263602
서원피렌체, 대조동 59-46,37.60761085,126.9233931
이지플오피스텔, 대조동 6-42,37.61119548,126.9277092
선릉역 롯데골드로즈오피스텔, 대치동 889-53,37.50417053,127.0507854
더 나인 오피스텔, 대치동 889-56,37.50405185,127.0510449
선릉역 롯데골드로즈2, 대치동 890-59,37.50414844,127.0521002
대치동 대우아이빌 명문가, 대치동 891-23,37.50508126,127.0535343
대치동대우아이빌멤버스, 대치동 891-26,37.50463278,127.053752
대치트레비스타 101동, 대치동 891-38,37.50544252,127.0547186
대치트레비스타 102동, 대치동 891-63,37.50539547,127.0545746
삼환 아르누보2, 대치동 938,37.49743868,127.0546376
신안메트로칸, 대치동 943-24,37.5068837,127.0594368
대치3차 아이파크 오피스텔, 대치동 945-20,37.5070496,127.061824
신촌자이엘라, 대현동 104-36,35.88588925,128.6106855
신촌푸르지오시티, 대현동 104-5,35.8856882,128.610512
신촌 스타게이트, 대현동 110-22,37.55814682,126.9425943
신촌가이아, 대현동 27-20,37.55803113,126.9431569
이대프리젠#3, 대현동 37-15,37.55847593,126.9435753
이대프리젠#4, 대현동 37-24,37.55822492,126.9442179
이대프리젠#1, 대현동 37-30,37.55807259,126.9441628
영타운 지웰 에스테이트, 대현동 37-32,37.55812918,126.9437558
에스엠피렌체, 대현동 37-48,37.55841632,126.944437
이화인비따레오피스텔, 대현동 45-5,37.55725087,126.9470949
더가온 오피스텔, 대현동 56-10,37.55854846,126.9449539
SONG'S 8, 대현동 56-119,37.5584216,126.9450503
파크제이드 이화, 대현동 56-28,37.55823641,126.9451755
이대오늘아침 오피스텔, 대현동 56-63,37.55895866,126.9447894
(56-83), 대현동 56-83,37.5586706,126.9453264
아리움Ⅰ, 대현동 90-15,37.55784419,126.9440261
슈테리움 오피스텔, 대현동 90-22,37.55768833,126.9437553
엔트라리움, 대현동 90-26,37.55768219,126.9436108
블로섬하우스, 대현동 90-36,37.55751662,126.94431
(90-41), 대현동 90-41,37.55750861,126.9441342
이대다올노블리움2차, 대현동 90-42,37.557435,126.9442157
이대프리젠#2, 대현동 90-44,37.55734559,126.9439866
애스턴빌, 대현동 90-50,37.55733787,126.9438543
(90-58), 대현동 90-58,37.55732831,126.9436578
이대 포레스트, 대현동 90-60,37.55710823,126.9445678
파라타워, 대현동 90-70,37.55702335,126.9441122
유씨유 이대, 대현동 90-77,37.55710886,126.9437515
퍼스트빌, 도봉동 596-9,37.67741446,127.0440919
도봉 엠블렘, 도봉동 62-1,37.68258931,127.0480815
도봉 투웨니퍼스트 1단지, 도봉동 62-3,37.68266939,127.0470617
다이아포레, 도봉동 634-6,37.67219466,127.0468462
신한넥스텔, 도선동 14,37.56371712,127.0357587
다남매타워, 도선동 22-1,37.56236582,127.0356157
왕십리렉스프리미엄오피스텔, 도선동 257,37.56315484,127.0328263
렉스오피스텔, 도선동 268,37.56322861,127.032985
J&J빌딩, 도선동 276,37.5632457,127.0332776
비엠빌딩, 도선동 292,37.56370441,127.0314039
W에비뉴타워, 도선동 46,37.56235327,127.0344067
한성아펠타워, 도선동 53,37.56252531,127.0340949
블라썸시티, 독산동 1003-19,37.46589854,126.8900921
명남더블레스, 독산동 1004-13,37.46504234,126.8904119
가산글로벌퍼스트, 독산동 1005-4,37.46437091,126.8929862
중앙하이빌, 독산동 1006-115,37.4650319,126.8933379
빌인사이드파크1, 독산동 1006-118,37.46531733,126.8932167
미림A클래스, 독산동 1006-3,37.46613993,126.8922916
e편한세상 독산 더타워, 독산동 1007-13,37.46582105,126.8963097
팔레스타운, 독산동 1009-61,37.46427706,126.8962611
SD 아크로타워, 독산동 1012-12,37.46843144,126.8986417
서래타운, 독산동 1023-1,37.46758478,126.9016114
리벤하임써밋, 독산동 1031-14,37.46534208,126.8983804
골드캐슬, 독산동 1031-22,37.46503981,126.8982948
돌체비타타워, 독산동 1031-30,37.46477361,126.898324
BK 힐타운, 독산동 1077-24,37.45853965,126.899535
금천 롯데캐슬 골드파크 2차, 독산동 1150,37.45817596,126.8940392
금천 롯데캐슬 골드파크 4차, 독산동 1156,37.46109394,126.8967861
(143-1), 독산동 143-1,37.4782338,126.8970468
영진오피스텔, 독산동 144-4,37.47666919,126.8974502
한영솔레이유시티, 독산동 145-2,37.47689535,126.8982363
"	(149-50)	", 독산동 149-50,37.47313573,126.8972924
SM 벨리체, 독산동 151-3,37.47270158,126.8970375
메이씨티 오피스텔, 독산동 289-12,37.47005074,126.8968155
