건물명,주소,입력주소,경도,위도
가양강나루현대,가양동 448-1,서울시  가양동 448-1,126.856833,37.560674
보광드림타운,가양동 448-10,서울시  가양동 448-10,126.858297,37.560417
빛고을우방,가양동 448-9,서울시  가양동 448-9,126.857884,37.560044
라이프시티,갈현동 267-1,서울시  갈현동 267-1,126.910468,37.623027
천지,갈현동 276-37,서울시  갈현동 276-37,126.91503,37.622457
대양,갈현동 281-208,서울시  갈현동 281-208,126.911494,37.624911
인우(281-215),갈현동 281-215,서울시  갈현동 281-215,126.911915,37.624816
인우(281-236),갈현동 281-236,서울시  갈현동 281-236,126.91169,37.624678
해오름,갈현동 327-40,서울시  갈현동 327-40,126.909253,37.617015
한우리,갈현동 327-54,서울시  갈현동 327-54,126.910252,37.616087
골드스타,갈현동 456-19,서울시  갈현동 456-19,126.919398,37.618091
만연센텀시티,갈현동 456-8,서울시  갈현동 456-8,126.919483,37.618479
연서노벨(463-16),갈현동 463-16,서울시  갈현동 463-16,126.917016,37.613627
동광갈현베르빌,갈현동 465-12,서울시  갈현동 465-12,126.91672,37.612146
역촌맨션,갈현동 467-2,서울시  갈현동 467-2,126.916239,37.613286
플라잉캐슬,갈현동 468-4,서울시  갈현동 468-4,126.916127,37.612456
베로니스,갈현동 468-5,서울시  갈현동 468-5,126.916147,37.612655
행운,갈현동 474-4,서울시  갈현동 474-4,126.915679,37.614434
지캐슬,갈현동 487-2,서울시  갈현동 487-2,126.915046,37.615131
천수,갈현동 488-16,서울시  갈현동 488-16,126.914289,37.614196
명성,갈현동 521-2,서울시  갈현동 521-2,126.910997,37.616257
웰빙,갈현동 522-16,서울시  갈현동 522-16,126.910705,37.617686
갈현동현대,갈현동 537,서울시  갈현동 537,126.914175,37.622034
미미,갈현동 538,서울시  갈현동 538,126.913585,37.618983
한솔,갈현동 539,서울시  갈현동 539,126.909863,37.617931
우남,갈현동 540,서울시  갈현동 540,126.906716,37.617776
갈현건영,갈현동 541-1,서울시  갈현동 541-1,126.913362,37.628911
현재트윈빌,갈현동 542-1,서울시  갈현동 542-1,126.908556,37.616639
메카,갈현동 543,서울시  갈현동 543,126.911634,37.622335
갈현삼성,갈현동 544,서울시  갈현동 544,126.909095,37.615437
코오롱하늘채,갈현동 545,서울시  갈현동 545,126.911361,37.623144
유호루하스,갈현동 548,서울시  갈현동 548,126.917415,37.623614
대한웰빙홈,갈현동 549,서울시  갈현동 549,126.919663,37.625626
강동리버스트4단지,강일동 114,서울시  강일동 114,127.172216,37.57292
강일리버파크1단지,강일동 665,서울시  강일동 665,127.172061,37.567504
강일리버파크2단지,강일동 668,서울시  강일동 668,127.176342,37.569354
강일리버파크5단지,강일동 670,서울시  강일동 670,127.178228,37.567682
강일리버파크4단지,강일동 673,서울시  강일동 673,127.176308,37.56729
강일리버파크3단지,강일동 674,서울시  강일동 674,127.174765,37.566649
강일리버파크6단지,강일동 684,서울시  강일동 684,127.176448,37.563858
강일리버파크7단지,강일동 686,서울시  강일동 686,127.179019,37.564768
강일리버파크11단지,강일동 689,서울시  강일동 689,127.180137,37.562956
강일리버파크10단지,강일동 695,서울시  강일동 695,127.180792,37.559996
강일리버파크9단지,강일동 699,서울시  강일동 699,127.178837,37.559694
강일리버파크8단지,강일동 701,서울시  강일동 701,127.176915,37.561492
고덕리엔파크1단지,강일동 707,서울시  강일동 707,127.171692,37.560987
고덕리엔파크2단지,강일동 717,서울시  강일동 717,127.172931,37.559437
푸르내,강일동 730-2,서울시  강일동 730-2,127.172327,37.556738
신개봉삼환,개봉동 170-30,서울시  개봉동 170-30,126.858014,37.496595
청실,개봉동 175-8,서울시  개봉동 175-8,126.859717,37.495404
창동,개봉동 20-1,서울시  개봉동 20-1,126.842695,37.503627
거성,개봉동 270-80,서울시  개봉동 270-80,126.851063,37.488949
레오,개봉동 304-12,서울시  개봉동 304-12,126.853814,37.493193
