건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
신일해피트리2차(567), 장안동 567,10층,2020 9 28,"    40,000/         0",84.83,25.7,2005,15935.846027884343,0.0
휘경동일하이빌, 휘경동 365,13층,2020 9 5,"    12,000/       110",110.56,33.4,2005,12270.85218388813,4.8682865153026915
휘경 SK뷰, 휘경동 372,19층,2020 9 17,"    36,000/        60",59.39,18.0,2019,14878.36698734314,12.241925121625863
두산1, 면목동 1500,11층,2020 9 12,"    40,000/         0",84.87,25.7,1993,12889.552923304025,6.485084306095979
세모, 면목동 91-58,2층,2020 9 14,"     4,000/        80",68.35,20.7,2001,1932.3671497584542,38.64734299516908
한영드림, 면목동 121-32,4층,2020 9 23,"     6,000/         0",84.16,25.5,2002,2352.9411764705883,0.0
성원상떼빌, 면목동 1515,9층,2020 9 24,"    28,000/         0",59.91,18.1,1997,13377.296943096442,5.524861878453038
신성, 면목동 1519,6층,2020 9 24,"    33,000/         0",59.91,18.1,1998,13473.97775820844,1.8310826276035708
형진, 면목동 1512,3층,2020 9 25,"    31,000/         0",84.18,25.5,1996,12207.05662685803,0.0
더클래스, 상봉동 85-4,7층,2020 9 18,"    23,800/         0",28.25,8.5,2019,29288.515406162456,0.0
한국프라우드, 상봉동 74,4층,2020 9 25,"    40,000/         0",84.99,25.7,2005,14630.35019455253,0.0
한영(102), 중화동 274-75,6층,2020 9 7,"    31,000/         0",81.84,24.8,2003,12500.0,0.0
태능에셈빌, 중화동 314-1,9층,2020 9 12,"    30,000/         0",84.84299999999999,25.7,2005,12075.099688072805,0.0
위더스빌, 묵동 169-11,5층,2020 9 25,"    55,000/         0",84.98,25.7,2010,18741.893644617383,0.0
월드메르디앙, 묵동 392,11층,2020 9 27,"    40,000/         0",58.72,17.8,2009,15648.378800663742,4.311893639956882
문수해오름, 망우동 490-30,4층,2020 9 6,"    26,000/         0",83.61,25.3,2002,11462.450592885376,0.0
금호어울림(580-1), 망우동 580-1,3층,2020 9 6,"    31,500/        42",84.94,25.7,2006,9534.578756153664,9.494163424124514
청광, 망우동 575,11층,2020 9 8,"    10,000/        85",83.4564,25.2,2001,4613.0952380952385,19.3452380952381
신내글로리움, 신내동 640,11층,2020 9 16,"     9,020/        22",44.68,13.5,2019,5781.525302779032,17.98311472938339
