건물명,주소,경도,위도
대치트레비스타 102동, 대치동 891-63,127.0545746,37.50539547
삼환 아르누보2, 대치동 938,127.0546376,37.49743868
신안메트로칸, 대치동 943-24,127.0594368,37.5068837
대치3차 아이파크 오피스텔, 대치동 945-20,127.061824,37.5070496
신촌자이엘라, 대현동 104-36,126.9424725,37.55686475
신촌푸르지오시티, 대현동 104-5,126.942554,37.55743724
신촌 스타게이트, 대현동 110-22,126.9425943,37.55814682
신촌가이아, 대현동 27-20,126.9431569,37.55803113
이대프리젠#3, 대현동 37-15,126.9435753,37.55847593
이대프리젠#4, 대현동 37-24,126.9442179,37.55822492
이대프리젠#1, 대현동 37-30,126.9441628,37.55807259
영타운 지웰 에스테이트, 대현동 37-32,126.9437558,37.55812918
에스엠피렌체, 대현동 37-48,126.944437,37.55841632
이화인비따레오피스텔, 대현동 45-5,126.9470949,37.55725087
더가온 오피스텔, 대현동 56-10,126.9449539,37.55854846
SONG'S 8, 대현동 56-119,126.9450503,37.5584216
파크제이드 이화, 대현동 56-28,126.9451755,37.55823641
이대오늘아침 오피스텔, 대현동 56-63,126.9447894,37.55895866
(56-83), 대현동 56-83,126.9453264,37.5586706
아리움Ⅰ, 대현동 90-15,126.9440261,37.55784419
슈테리움 오피스텔, 대현동 90-22,126.9437553,37.55768833
엔트라리움, 대현동 90-26,126.9436108,37.55768219
블로섬하우스, 대현동 90-36,126.94431,37.55751662
(90-41), 대현동 90-41,126.9441342,37.55750861
이대다올노블리움2차, 대현동 90-42,126.9442157,37.557435
이대프리젠#2, 대현동 90-44,126.9439866,37.55734559
애스턴빌, 대현동 90-50,126.9438543,37.55733787
(90-58), 대현동 90-58,126.9436578,37.55732831
이대 포레스트, 대현동 90-60,126.9445678,37.55710823
파라타워, 대현동 90-70,126.9441122,37.55702335
유씨유 이대, 대현동 90-77,126.9437515,37.55710886
퍼스트빌, 도봉동 596-9,127.0440919,37.67741446
도봉 엠블렘, 도봉동 62-1,127.0480815,37.68258931
도봉 투웨니퍼스트 1단지, 도봉동 62-3,127.0470617,37.68266939
다이아포레, 도봉동 634-6,127.0468462,37.67219466
신한넥스텔, 도선동 14,127.0357587,37.56371712
다남매타워, 도선동 22-1,127.0356157,37.56236582
왕십리렉스프리미엄오피스텔, 도선동 257,127.0328263,37.56315484
렉스오피스텔, 도선동 268,127.032985,37.56322861
J&J빌딩, 도선동 276,127.0332776,37.5632457
비엠빌딩, 도선동 292,127.0314039,37.56370441
W에비뉴타워, 도선동 46,127.0344067,37.56235327
한성아펠타워, 도선동 53,127.0340949,37.56252531
블라썸시티, 독산동 1003-19,126.8900921,37.46589854
명남더블레스, 독산동 1004-13,126.8904119,37.46504234
가산글로벌퍼스트, 독산동 1005-4,126.8929862,37.46437091
중앙하이빌, 독산동 1006-115,126.8933379,37.4650319
빌인사이드파크1, 독산동 1006-118,126.8932167,37.46531733
미림A클래스, 독산동 1006-3,126.8922916,37.46613993
e편한세상 독산 더타워, 독산동 1007-13,126.8963097,37.46582105
팔레스타운, 독산동 1009-61,126.8962611,37.46427706
SD 아크로타워, 독산동 1012-12,126.8986417,37.46843144
서래타운, 독산동 1023-1,126.9016114,37.46758478
리벤하임써밋, 독산동 1031-14,126.8983804,37.46534208
골드캐슬, 독산동 1031-22,126.8982948,37.46503981
돌체비타타워, 독산동 1031-30,126.898324,37.46477361
BK 힐타운, 독산동 1077-24,126.899535,37.45853965
금천 롯데캐슬 골드파크 2차, 독산동 1150,126.8940392,37.45817596
금천 롯데캐슬 골드파크 4차, 독산동 1156,126.8967861,37.46109394
(143-1), 독산동 143-1,126.8970468,37.4782338
영진오피스텔, 독산동 144-4,126.8974502,37.47666919
한영솔레이유시티, 독산동 145-2,126.8982363,37.47689535
"	(149-50)	", 독산동 149-50,126.8972924,37.47313573
SM 벨리체, 독산동 151-3,126.8970375,37.47270158
메이씨티 오피스텔, 독산동 289-12,126.8968155,37.47005074
대동리버파크빌, 독산동 296-60,126.895657,37.47215834
와이피하우스, 독산동 296-7,126.8954929,37.47193551
YP타운, 독산동 298-9,126.8946643,37.47243656
독산동주상복합, 독산동 303-1,126.8914247,37.47213794
우정오피스텔, 독산동 331-4,126.8940446,37.46756786
(331-40), 독산동 331-40,126.8938917,37.46672968
씨티오피스텔, 독산동 332-24,126.8919743,37.46674182
한강빌딩, 독산동 332-37,126.8915463,37.46768426
해송빌딩, 독산동 332-59,126.8917307,37.46773137
"	(333-2)	", 독산동 333-2,126.8909214,37.47002817
메종에떼르넬, 독산동 336-29,126.8878843,37.47104031
GREEN HILL, 독산동 950-5,126.9044697,37.47942563
보성빌딩, 독산동 952-34,126.9023178,37.47928612
삼부르네상스플러스, 독산동 953,126.9004775,37.4785541
로하스타워, 독산동 959,126.9030106,37.47881498
"	(960-11)	", 독산동 960-11,126.9043109,37.47813737
아우르 하우스, 독산동 961-14,126.9038565,37.47673608
메트로시티, 독산동 961-9,126.9040184,37.47753929
우미그린빌, 독산동 962-11,126.9031246,37.47719629
THE VIEW, 독산동 962-42,126.9033155,37.47761797
어반팰리스, 독산동 973-1,126.9033138,37.476391
(974-1), 독산동 974-1,126.903938,37.47605192
드래곤팰리스, 돈의동 41-1,126.990106,37.57232156
"	(121-5)	", 동선동1가 121-5,127.0189616,37.59330918
코아루센타시아, 동선동1가 121-6,127.0191742,37.59304586
더프라임, 동선동1가 124,127.0190188,37.59361908
., 동선동1가 85-65,127.0186633,37.59208971
동선아르텔, 동선동1가 85-66,127.0186644,37.59227045
1, 동선동3가 14-3,127.0200362,37.59505038
엔젤오피스텔, 동선동3가 24,127.0205824,37.59537312
피아빌딩, 동선동3가 40-1,127.0208027,37.59578577
골든타워, 동선동4가 111-1,127.0182383,37.59416073
휴림 빌딩, 동선동4가 127,127.0182622,37.5946867
