건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
코지움(230-8),석촌동 230-8,2층,2020 10 31,"     6,950/        45",30.03,9.1,2003,8673.050250720155,41.71556598741064,연립/다세대,적정보증금,고월세,127.121094,37.499476
행복드림빌(55-7),삼전동 55-7,3층,2020 10 3,       500/        47,15.08,4.6,2012,1086.9565217391305,98.55072463768116,연립/다세대,적정보증금,고월세,127.023588,37.6067
(12-3),삼전동 12-3,3층,2020 10 5,"     1,000/        60",28.91,8.7,2002,1149.425287356322,68.96551724137932,연립/다세대,적정보증금,고월세,127.124367,37.491354
(93-3),삼전동 93-3,4층,2020 10 5,"    10,000/        38",36.84,11.1,2002,5655.494660898676,51.36607271192963,연립/다세대,적정보증금,고월세,127.028162,37.598989
(118-3),삼전동 118-3,4층,2020 10 6,"     1,000/        93",45.34,13.7,2012,1609.4292210123251,66.61680826452874,연립/다세대,적정보증금,고월세,127.044549,37.616657
지구빌라(96-0),삼전동 96,2층,2020 10 6,"    10,500/        60",45.37,13.7,2004,9055.869565727453,41.559324459710886,연립/다세대,적정보증금,고월세,127.119437,37.51343
(99-16),삼전동 99-16,3층,2020 10 10,"     1,500/        97",52.52,15.9,2012,6605.756700096322,39.0020964360587,연립/다세대,적정보증금,고월세,127.133509,37.506587
(11-13),삼전동 11-13,2층,2020 10 10,"     2,000/       105",56.91,17.2,2004,2119.856887298748,72.83094812164579,연립/다세대,적정보증금,고월세,127.114262,37.510156
하임빌라2동,삼전동 166-16,4층,2020 10 12,"     5,000/        80",49.77,15.1,2003,2980.132450331126,51.324503311258276,연립/다세대,적정보증금,고월세,127.123114,37.489246
(12-2),삼전동 12-2,3층,2020 10 12,"     1,000/        68",39.18,11.9,2004,840.3361344537815,57.98319327731093,연립/다세대,적정보증금,고월세,127.028415,37.598747
(102-1),삼전동 102-1,3층,2020 10 12,"     2,000/        80",43.8,13.2,2002,1515.1515151515152,60.60606060606061,연립/다세대,적정보증금,고월세,127.12653,37.495002
