지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11380,위산 엘리시움, 대조동 179-30,7층,2020 2 6,"12,600/0",19.72,2018,6.0,"12,600",0
11380,위산 엘리시움, 대조동 179-30,6층,2020 2 6,"14,000/0",19.72,2018,6.0,"14,000",0
11380,연신엘피스, 대조동 186-3,9층,2020 2 6,"1,000/60",16.71,2019,5.1,"1,000",60
11380,연신내역마에스트로, 대조동 186-25,4층,2020 2 8,500/52,19.45,2013,5.9,500,52
11380,한리옥, 대조동 223-10,7층,2020 2 8,"10,000/0",27.78,2004,8.4,"10,000",0
11380,유진 아이디움, 대조동 197-1,8층,2020 2 8,"8,000/30",17.14,2019,5.2,"8,000",30
11380,유진 아이디움, 대조동 197-1,7층,2020 2 8,"1,000/58",17.14,2019,5.2,"1,000",58
11380,연신내역마에스트로, 대조동 186-25,6층,2020 2 8,500/47,17.38,2013,5.3,500,47
11380,유진 아이디움, 대조동 197-1,8층,2020 2 9,"1,000/60",17.14,2019,5.2,"1,000",60
11380,연신엘피스, 대조동 186-3,8층,2020 2 10,"16,000/0",16.71,2019,5.1,"16,000",0
11380,연신엘피스, 대조동 186-3,8층,2020 2 10,"17,000/0",19.12,2019,5.8,"17,000",0
11380,유진 아이디움, 대조동 197-1,4층,2020 2 11,"14,000/0",17.14,2019,5.2,"14,000",0
11380,유진 아이디움, 대조동 197-1,5층,2020 2 15,500/55,17.14,2019,5.2,500,55
11380,연신내역마에스트로, 대조동 186-25,17층,2020 2 15,"2,000/65",30.06,2013,9.1,"2,000",65
11380,위산 엘리시움, 대조동 179-30,3층,2020 2 17,"14,500/0",19.72,2018,6.0,"14,500",0
11380,유진 아이디움, 대조동 197-1,6층,2020 2 19,"14,300/0",17.14,2019,5.2,"14,300",0
11380,유진 아이디움, 대조동 197-1,8층,2020 2 21,"1,000/55",17.14,2019,5.2,"1,000",55
11380,유진 아이디움, 대조동 197-1,6층,2020 2 24,"1,000/50",17.14,2019,5.2,"1,000",50
11380,태경쉐르빌, 대조동 224-7,4층,2020 2 24,"4,000/45",42.17,2015,12.8,"4,000",45
11380,한리옥, 대조동 223-10,2층,2020 2 27,"10,000/0",28.79,2004,8.7,"10,000",0
11380,유진 아이디움, 대조동 197-1,7층,2020 2 28,"2,000/50",17.14,2019,5.2,"2,000",50
11380,연신엘피스, 대조동 186-3,7층,2020 2 28,"2,000/56",16.71,2019,5.1,"2,000",56
11380,연신엘피스, 대조동 186-3,7층,2020 2 29,"16,000/0",16.71,2019,5.1,"16,000",0
11380,위산 엘리시움, 대조동 179-30,5층,2020 2 29,"16,000/0",19.72,2018,6.0,"16,000",0
11380,해들목휴먼빌, 응암동 96-35,2층,2020 2 1,"31,000/0",61.95,2018,18.7,"31,000",0
11380,동인에버빌, 응암동 109-15,7층,2020 2 2,"16,300/0",16.93,2019,5.1,"16,300",0
11380,응암아네스트, 응암동 88-8,6층,2020 2 3,"4,000/35",23.84,2014,7.2,"4,000",35
11380,첼라 오피스텔(117-39), 응암동 117-39,7층,2020 2 3,500/50,25.2,2004,7.6,500,50
11380,세영갤러리, 응암동 124-37,5층,2020 2 3,"18,000/0",42.66,2014,12.9,"18,000",0
11380,	(678-3)	, 응암동 678-3,3층,2020 2 3,"4,500/0",16.41,2003,5.0,"4,500",0
11380,캐스텔가든, 응암동 89-1,6층,2020 2 4,"1,000/54",23.86,2017,7.2,"1,000",54
11380,동인에버빌, 응암동 109-15,7층,2020 2 4,"16,300/0",16.93,2019,5.1,"16,300",0
11170,갈월동 에이트리움, 갈월동 101-49,14층,2020 2 1,"1,000/75",33.77,2004,10.2,"1,000",75
11170,갈월동 에이트리움, 갈월동 101-49,5층,2020 2 1,"19,950/0",34.11,2004,10.3,"19,950",0
11170,갈월동 에이트리움, 갈월동 101-49,19층,2020 2 5,"19,000/0",30.97,2004,9.4,"19,000",0
11170,갈월동 에이트리움, 갈월동 101-49,21층,2020 2 5,"9,000/0",34.21,2004,10.3,"9,000",0
11170,트윈시티 남산, 동자동 56,14층,2020 2 3,"1,000/95",25.43,2015,7.7,"1,000",95
11170,트윈시티 남산, 동자동 56,9층,2020 2 5,"1,000/115",29.95,2015,9.1,"1,000",115
11170,트윈시티 남산, 동자동 56,27층,2020 2 6,"1,000/100",27.69,2015,8.4,"1,000",100
11170,트윈시티 남산, 동자동 56,2층,2020 2 10,"1,000/95",25.37,2015,7.7,"1,000",95
11170,트윈시티 남산, 동자동 56,25층,2020 2 17,"1,000/115",29.61,2015,9.0,"1,000",115
11170,용산 다올 노블리움, 청파동3가 80-6,9층,2020 2 1,"24,000/0",27.58,2020,8.3,"24,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,7층,2020 2 1,"20,000/0",18.14,2020,5.5,"20,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,5층,2020 2 3,"17,700/0",18.09,2020,5.5,"17,700",0
11170,용산 다올 노블리움, 청파동3가 80-6,12층,2020 2 3,"18,500/0",17.87,2020,5.4,"18,500",0
11170,용산 다올 노블리움, 청파동3가 80-6,16층,2020 2 4,"25,000/0",27.58,2020,8.3,"25,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,5층,2020 2 5,"18,000/0",18.09,2020,5.5,"18,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,4층,2020 2 5,"18,000/0",17.99,2020,5.4,"18,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,12층,2020 2 6,"19,000/0",18.09,2020,5.5,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,11층,2020 2 6,"19,000/0",18.09,2020,5.5,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,14층,2020 2 6,"18,500/0",18.09,2020,5.5,"18,500",0
11170,용산 다올 노블리움, 청파동3가 80-6,11층,2020 2 6,"24,000/0",25.76,2020,7.8,"24,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,16층,2020 2 7,"19,500/0",18.09,2020,5.5,"19,500",0
11170,용산 다올 노블리움, 청파동3가 80-6,15층,2020 2 8,"18,800/0",17.99,2020,5.4,"18,800",0
11170,용산 다올 노블리움, 청파동3가 80-6,14층,2020 2 8,"18,500/0",17.99,2020,5.4,"18,500",0
11170,용산 다올 노블리움, 청파동3가 80-6,7층,2020 2 9,"24,000/0",27.58,2020,8.3,"24,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,16층,2020 2 9,"34,000/0",37.47,2020,11.3,"34,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,11층,2020 2 10,"19,000/0",18.09,2020,5.5,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,16층,2020 2 10,"19,300/0",18.04,2020,5.5,"19,300",0
11170,용산 다올 노블리움, 청파동3가 80-6,13층,2020 2 14,"19,000/0",18.09,2020,5.5,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,5층,2020 2 15,"17,500/0",17.87,2020,5.4,"17,500",0
11170,용산 다올 노블리움, 청파동3가 80-6,5층,2020 2 16,"18,000/0",18.14,2020,5.5,"18,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,13층,2020 2 21,"19,000/0",17.87,2020,5.4,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,4층,2020 2 22,"19,000/0",18.09,2020,5.5,"19,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,10층,2020 2 22,"18,000/0",17.87,2020,5.4,"18,000",0
11170,용산 다올 노블리움, 청파동3가 80-6,4층,2020 2 29,"18,000/0",18.09,2020,5.5,"18,000",0
11170,용산1차휴먼타운, 원효로1가 120-20,8층,2020 2 8,"28,300/0",33.61,2017,10.2,"28,300",0
11170,디아뜨 센트럴, 원효로1가 112-4,4층,2020 2 10,"16,000/0",25.5,2004,7.7,"16,000",0
11170,용산1차휴먼타운, 원효로1가 120-20,15층,2020 2 20,"29,400/0",29.97,2017,9.1,"29,400",0
11170,디아뜨 센트럴, 원효로1가 112-4,7층,2020 2 22,"15,500/0",25.5,2004,7.7,"15,500",0
11170,디아뜨 센트럴, 원효로1가 112-4,6층,2020 2 24,"1,000/60",25.19,2004,7.6,"1,000",60
11170,하람 휴, 원효로1가 28-10,10층,2020 2 25,"26,000/0",29.56,2019,8.9,"26,000",0
11170,e테크밸리, 원효로3가 51-37,9층,2020 2 10,"1,000/60",38.12,2003,11.5,"1,000",60
11170,e테크밸리, 원효로3가 51-37,14층,2020 2 20,"15,000/0",38.12,2003,11.5,"15,000",0
11170,아인하우스, 원효로3가 277-36,6층,2020 2 26,"15,000/0",23.04,2014,7.0,"15,000",0
11170,프라임펠리스, 문배동 24-8,5층,2020 2 1,"22,000/0",27.83,2012,8.4,"22,000",0
11170,용산 리브, 문배동 10-3,5층,2020 2 1,"3,000/100",42.25,2017,12.8,"3,000",100
11170,용산큐브, 문배동 24-4,13층,2020 2 1,"1,000/65",17.46,2013,5.3,"1,000",65
11170,용산아크로타워, 문배동 24-21,7층,2020 2 3,"38,000/0",51.45,2007,15.6,"38,000",0
11170,리첸시아 용산B, 문배동 40-31,2층,2020 2 4,"30,000/0",40.23,2010,12.2,"30,000",0
11170,용산큐브, 문배동 24-4,6층,2020 2 4,"17,500/0",17.46,2013,5.3,"17,500",0
11170,용산KCC웰츠타워, 문배동 11-10,4층,2020 2 5,"2,000/73",29.33,2015,8.9,"2,000",73
11170,이안용산프리미어, 문배동 3-3,4층,2020 2 5,"2,000/150",60.75,2007,18.4,"2,000",150
11170,용산씨제이나인파크, 문배동 24-6,12층,2020 2 6,"45,000/0",68.41,2007,20.7,"45,000",0
11170,지오베르크, 문배동 17-1,2층,2020 2 6,"5,000/65",31.35,2004,9.5,"5,000",65
11170,프라임펠리스, 문배동 24-8,11층,2020 2 7,"15,300/0",18.55,2012,5.6,"15,300",0
11170,용산KCC웰츠타워, 문배동 11-10,8층,2020 2 8,"22,000/0",29.97,2015,9.1,"22,000",0
11170,용산씨제이나인파크, 문배동 24-6,4층,2020 2 8,"42,000/0",68.41,2007,20.7,"42,000",0
